gender,subgroup,min_age,max_age,Vitamin_A_mg,Vitamin_C_mg,Vitamin_D_mg,Vitamin_E_mg,Vitamin_K_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Vitamin_B6_mg,Vitamin_B12_mg,Pantothenic_acid_mg
Male,Infants,0,0.5,0.4,40,0.01,4,0.002,0.2,0.3,2,0.1,0.0004,1.7
Male,Infants,0.5,1,0.5,50,0.01,5,0.0025,0.3,0.4,4,0.3,0.0005,1.8
Female,Infants,0,0.5,0.4,40,0.01,4,0.002,0.2,0.3,2,0.1,0.0004,1.7
Female,Infants,0.5,1,0.5,50,0.01,5,0.0025,0.3,0.4,4,0.3,0.0005,1.8
Male,Children,1,3,0.3,15,0.015,6,0.03,0.5,0.5,6,0.5,0.0009,2
Male,Children,4,8,0.4,25,0.015,7,0.055,0.6,0.6,8,0.6,0.0012,3
Female,Children,1,3,0.3,15,0.015,6,0.03,0.5,0.5,6,0.5,0.0009,2
Female,Children,4,8,0.4,25,0.015,7,0.055,0.6,0.6,8,0.6,0.0012,3
Male,Adult,9,13,0.6,45,0.015,11,0.06,0.9,0.9,12,1,0.0018,4
Male,Adult,14,18,0.9,75,0.015,15,0.075,1.2,1.3,16,1.3,0.0024,5
Male,Adult,19,30,0.9,90,0.015,15,0.12,1.2,1.3,16,1.3,0.0024,5
Male,Adult,31,50,0.9,90,0.015,15,0.12,1.2,1.3,16,1.3,0.0024,5
Male,Adult,51,70,0.9,90,0.015,15,0.12,1.2,1.3,16,1.7,0.0024,5
Male,Adult,70,120,0.9,90,0.02,15,0.12,1.2,1.3,16,1.7,0.0024,5
Female,Adult,9,13,0.6,45,0.015,11,0.06,0.9,0.9,12,1,0.0018,4
Female,Adult,14,18,0.7,65,0.015,15,0.075,1,1,14,1.2,0.0024,5
Female,Adult,19,30,0.7,75,0.015,15,0.09,1.1,1.1,14,1.3,0.0024,5
Female,Adult,31,50,0.7,75,0.015,15,0.09,1.1,1.1,14,1.3,0.0024,5
Female,Adult,51,70,0.7,75,0.015,15,0.09,1.1,1.1,14,1.5,0.0024,5
Female,Adult,70,120,0.7,75,0.02,15,0.09,1.1,1.1,14,1.5,0.0024,5
Female,Pregnancy,14,18,0.75,80,0.015,15,0.075,1.4,1.4,18,1.9,0.0026,6
Female,Pregnancy,19,30,0.77,85,0.015,15,0.09,1.4,1.4,18,1.9,0.0026,6
Female,Pregnancy,31,50,0.77,85,0.015,15,0.09,1.4,1.4,18,1.9,0.0026,6
Female,Lactation,14,18,1.2,115,0.015,19,0.075,1.4,1.6,17,2,0.0028,7
Female,Lactation,19,30,1.3,120,0.015,19,0.09,1.4,1.6,17,2,0.0028,7
Female,Lactation,31,50,1.3,120,0.015,19,0.09,1.4,1.6,17,2,0.0028,7
